Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integracion_2,Chrome 92.0.4515.131,,,2021-08-16 12:16:00,2021-08-16 12:16:40,40.143s,PASSED
,,,,,,,
Test Cases/BUCLES/Reto_For,Chrome 92.0.4515.131,,,2021-08-16 12:16:00,2021-08-16 12:16:17,17.591s,PASSED
"openBrowser("""")",Chrome 92.0.4515.131,,,2021-08-16 12:16:00,2021-08-16 12:16:02,2.046s,PASSED
"navigateToUrl(""https://demoqa.com/text-box"")",Chrome 92.0.4515.131,,,2021-08-16 12:16:02,2021-08-16 12:16:04,2.319s,PASSED
maximizeWindow(),Chrome 92.0.4515.131,,,2021-08-16 12:16:04,2021-08-16 12:16:05,0.139s,PASSED
waitForPageLoad(5),Chrome 92.0.4515.131,,,2021-08-16 12:16:05,2021-08-16 12:16:05,0.115s,PASSED
"for ([x = 1, x <= 4, (x++)])",Chrome 92.0.4515.131,,,2021-08-16 12:16:05,2021-08-16 12:16:17,12.194s,PASSED
closeBrowser(),Chrome 92.0.4515.131,,,2021-08-16 12:16:17,2021-08-16 12:16:17,0.589s,PASSED
,,,,,,,
Test Cases/BUCLES/Reto_while,Chrome 92.0.4515.131,,,2021-08-16 12:16:17,2021-08-16 12:16:40,22.144s,PASSED
"openBrowser("""")",Chrome 92.0.4515.131,,,2021-08-16 12:16:18,2021-08-16 12:16:19,1.075s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 92.0.4515.131,,,2021-08-16 12:16:19,2021-08-16 12:16:19,0.610s,PASSED
Bandera = 0,Chrome 92.0.4515.131,,,2021-08-16 12:16:19,2021-08-16 12:16:19,0.000s,PASSED
while (Bandera != 1),Chrome 92.0.4515.131,,,2021-08-16 12:16:19,2021-08-16 12:16:40,20.321s,PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_1,Chrome 92.0.4515.131,,,2021-08-16 12:16:40,2021-08-16 12:16:40,0.126s,PASSED
if (num == 10),Chrome 92.0.4515.131,,,2021-08-16 12:16:40,2021-08-16 12:16:40,0.001s,PASSED
else,Chrome 92.0.4515.131,,,2021-08-16 12:16:40,2021-08-16 12:16:40,0.000s,PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_2,Chrome 92.0.4515.131,,,2021-08-16 12:16:40,2021-08-16 12:16:40,0.100s,PASSED
if (num == 5),Chrome 92.0.4515.131,,,2021-08-16 12:16:40,2021-08-16 12:16:40,0.001s,PASSED
if (num == 10),Chrome 92.0.4515.131,,,2021-08-16 12:16:40,2021-08-16 12:16:40,0.001s,PASSED
