Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data_interno,Chrome 107.0.0.0,,,2022-11-23 19:47:07,2022-11-23 19:47:49,"41,487s",PASSED
,,,,,,,
Test Cases/Drive_excel/Drive_excel,Chrome 107.0.0.0,,,2022-11-23 19:47:08,2022-11-23 19:47:28,"20,734s",PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-23 19:47:08,2022-11-23 19:47:12,"3,464s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 107.0.0.0,,,2022-11-23 19:47:12,2022-11-23 19:47:21,"9,144s",PASSED
waitForPageLoad(40),Chrome 107.0.0.0,,,2022-11-23 19:47:21,2022-11-23 19:47:21,"0,224s",PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-23 19:47:21,2022-11-23 19:47:21,"0,188s",PASSED
"setText(findTestObject(""Object Repository/Drive_excel/Page_ToolsQA/input_Name_firstName""), nombre)",Chrome 107.0.0.0,,,2022-11-23 19:47:21,2022-11-23 19:47:24,"2,588s",PASSED
"setText(findTestObject(""Object Repository/Drive_excel/Page_ToolsQA/input_Name_lastName""), apellido)",Chrome 107.0.0.0,,,2022-11-23 19:47:24,2022-11-23 19:47:25,"0,793s",PASSED
"setText(findTestObject(""Object Repository/Drive_excel/Page_ToolsQA/input_Email_userEmail""), email)",Chrome 107.0.0.0,,,2022-11-23 19:47:25,2022-11-23 19:47:26,"0,907s",PASSED
delay(2),Chrome 107.0.0.0,,,2022-11-23 19:47:26,2022-11-23 19:47:28,"2,047s",PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-23 19:47:28,2022-11-23 19:47:28,"0,722s",PASSED
,,,,,,,
Test Cases/Drive_excel/Drive_excel,Chrome 107.0.0.0,,,2022-11-23 19:47:29,2022-11-23 19:47:49,"20,025s",PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-23 19:47:29,2022-11-23 19:47:30,"1,512s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 107.0.0.0,,,2022-11-23 19:47:30,2022-11-23 19:47:42,"11,711s",PASSED
waitForPageLoad(40),Chrome 107.0.0.0,,,2022-11-23 19:47:42,2022-11-23 19:47:42,"0,033s",PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-23 19:47:42,2022-11-23 19:47:42,"0,170s",PASSED
"setText(findTestObject(""Object Repository/Drive_excel/Page_ToolsQA/input_Name_firstName""), nombre)",Chrome 107.0.0.0,,,2022-11-23 19:47:42,2022-11-23 19:47:44,"2,186s",PASSED
"setText(findTestObject(""Object Repository/Drive_excel/Page_ToolsQA/input_Name_lastName""), apellido)",Chrome 107.0.0.0,,,2022-11-23 19:47:44,2022-11-23 19:47:45,"0,811s",PASSED
"setText(findTestObject(""Object Repository/Drive_excel/Page_ToolsQA/input_Email_userEmail""), email)",Chrome 107.0.0.0,,,2022-11-23 19:47:45,2022-11-23 19:47:46,"0,881s",PASSED
delay(2),Chrome 107.0.0.0,,,2022-11-23 19:47:46,2022-11-23 19:47:48,"2,009s",PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-23 19:47:48,2022-11-23 19:47:49,"0,675s",PASSED
