Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IntegracionUno,Chrome 107.0.0.0,,,2022-11-23 19:48:19,2022-11-23 19:49:43,"1m - 23,738s",PASSED
,,,,,,,
Test Cases/BUCLES/Reto_For,Chrome 107.0.0.0,,,2022-11-23 19:48:20,2022-11-23 19:48:52,"32,511s",PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-23 19:48:20,2022-11-23 19:48:24,"3,865s",PASSED
"navigateToUrl(""https://demoqa.com/text-box"")",Chrome 107.0.0.0,,,2022-11-23 19:48:24,2022-11-23 19:48:32,"7,840s",PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-23 19:48:32,2022-11-23 19:48:32,"0,205s",PASSED
waitForPageLoad(5),Chrome 107.0.0.0,,,2022-11-23 19:48:32,2022-11-23 19:48:32,"0,260s",PASSED
"for ([x = 1, x <= 4, (x++)])",Chrome 107.0.0.0,,,2022-11-23 19:48:32,2022-11-23 19:48:51,"18,925s",PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-23 19:48:51,2022-11-23 19:48:52,"0,733s",PASSED
,,,,,,,
Test Cases/BUCLES/Reto_while,Chrome 107.0.0.0,,,2022-11-23 19:48:52,2022-11-23 19:49:43,"50,683s",PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-23 19:48:53,2022-11-23 19:48:54,"1,504s",PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 107.0.0.0,,,2022-11-23 19:48:54,2022-11-23 19:48:55,"1,061s",PASSED
Bandera = 0,Chrome 107.0.0.0,,,2022-11-23 19:48:55,2022-11-23 19:48:55,"0,000s",PASSED
while (Bandera != 1),Chrome 107.0.0.0,,,2022-11-23 19:48:55,2022-11-23 19:49:43,"47,495s",PASSED
