Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testCLoud,Chrome 107.0.0.0,,,2022-11-29 19:33:44,2022-11-29 19:44:29,"10m - 44,702s",PASSED
,,,,,,,
Test Cases/Navegador/Navegador,Chrome 107.0.0.0,,,2022-11-29 19:33:45,2022-11-29 19:34:03,"17,835s",PASSED
"openBrowser(""https://demoqa.com/text-box"")",Chrome 107.0.0.0,,,2022-11-29 19:33:45,2022-11-29 19:34:01,"15,947s",PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-29 19:34:01,2022-11-29 19:34:02,"0,197s",PASSED
page_url = getUrl(),Chrome 107.0.0.0,,,2022-11-29 19:34:02,2022-11-29 19:34:02,"0,058s",PASSED
print(page_url),Chrome 107.0.0.0,,,2022-11-29 19:34:02,2022-11-29 19:34:02,"0,007s",PASSED
Titulo = getWindowTitle(),Chrome 107.0.0.0,,,2022-11-29 19:34:02,2022-11-29 19:34:02,"0,100s",PASSED
"print(""titiulo de la pagina"" + Titulo)",Chrome 107.0.0.0,,,2022-11-29 19:34:02,2022-11-29 19:34:02,"0,001s",PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-29 19:34:02,2022-11-29 19:34:03,"0,818s",PASSED
,,,,,,,
Test Cases/Objecto_xpath/Caso_xpath,Chrome 107.0.0.0,,,2022-11-29 19:34:03,2022-11-29 19:34:23,"20,044s",PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-29 19:34:04,2022-11-29 19:34:05,"1,478s",PASSED
"navigateToUrl(""https://demoqa.com/text-box"")",Chrome 107.0.0.0,,,2022-11-29 19:34:05,2022-11-29 19:34:16,"10,660s",PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-29 19:34:16,2022-11-29 19:34:16,"0,156s",PASSED
"setText(findTestObject(""Objeto_xpath/Campo_nombre""), ""Ljubo"")",Chrome 107.0.0.0,,,2022-11-29 19:34:16,2022-11-29 19:34:18,"2,535s",PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-29 19:34:18,2022-11-29 19:34:21,"3,095s",PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-29 19:34:21,2022-11-29 19:34:23,"1,245s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Condicionar_titulo,Chrome 107.0.0.0,,,2022-11-29 19:34:23,2022-11-29 19:34:53,"30,155s",PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-29 19:34:23,2022-11-29 19:34:25,"1,517s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 107.0.0.0,,,2022-11-29 19:34:25,2022-11-29 19:34:34,"9,415s",PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-29 19:34:34,2022-11-29 19:34:34,"0,169s",PASSED
waitForPageLoad(5),Chrome 107.0.0.0,,,2022-11-29 19:34:34,2022-11-29 19:34:35,"0,207s",PASSED
"Existe = waitForElementVisible(findTestObject(""Condicionales/Texto_radio""), 3)",Chrome 107.0.0.0,,,2022-11-29 19:34:35,2022-11-29 19:34:41,"6,623s",PASSED
print(Existe),Chrome 107.0.0.0,,,2022-11-29 19:34:41,2022-11-29 19:34:41,"0,002s",PASSED
if (Existe == true),Chrome 107.0.0.0,,,2022-11-29 19:34:41,2022-11-29 19:34:41,"0,001s",PASSED
else,Chrome 107.0.0.0,,,2022-11-29 19:34:41,2022-11-29 19:34:53,"11,590s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_1,Chrome 107.0.0.0,,,2022-11-29 19:34:53,2022-11-29 19:34:53,"0,612s",PASSED
if (num == 10),Chrome 107.0.0.0,,,2022-11-29 19:34:53,2022-11-29 19:34:53,"0,001s",PASSED
else,Chrome 107.0.0.0,,,2022-11-29 19:34:53,2022-11-29 19:34:53,"0,002s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_2,Chrome 107.0.0.0,,,2022-11-29 19:34:53,2022-11-29 19:34:54,"0,476s",PASSED
if (num == 5),Chrome 107.0.0.0,,,2022-11-29 19:34:54,2022-11-29 19:34:54,"0,003s",PASSED
if (num == 10),Chrome 107.0.0.0,,,2022-11-29 19:34:54,2022-11-29 19:34:54,"0,010s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_3,Chrome 107.0.0.0,,,2022-11-29 19:34:54,2022-11-29 19:34:54,"0,447s",PASSED
"if (nombre == ""Juan"")",Chrome 107.0.0.0,,,2022-11-29 19:34:54,2022-11-29 19:34:54,"0,001s",PASSED
"if (nombre == ""JUan"")",Chrome 107.0.0.0,,,2022-11-29 19:34:54,2022-11-29 19:34:54,"0,000s",PASSED
"if (nombre == ""juan"")",Chrome 107.0.0.0,,,2022-11-29 19:34:54,2022-11-29 19:34:54,"0,001s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_4,Chrome 107.0.0.0,,,2022-11-29 19:34:54,2022-11-29 19:34:55,"0,518s",PASSED
if (num <= 7),Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:34:55,"0,003s",PASSED
if (num >= 8),Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:34:55,"0,000s",PASSED
if (num != 5),Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:34:55,"0,000s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_edad,Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:34:55,"0,479s",PASSED
if (edad >= 1 && edad <= 17),Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:34:55,"0,001s",PASSED
else if (edad == 18),Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:34:55,"0,000s",PASSED
else if (edad <= 0),Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:34:55,"0,001s",PASSED
else if (edad == 120),Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:34:55,"0,000s",PASSED
else,Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:34:55,"0,001s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_valor,Chrome 107.0.0.0,,,2022-11-29 19:34:55,2022-11-29 19:35:18,"22,477s",PASSED
