Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
apitest,,,,2022-11-30 15:57:55,2022-11-30 16:04:58,"7m - 3,369s",PASSED
,,,,,,,
Test Cases/API_TEST1/AddUser,,,,2022-11-30 15:58:09,2022-11-30 16:00:44,"2m - 35,276s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/AddUser""))",,,,2022-11-30 15:58:31,2022-11-30 16:00:42,"2m - 10,945s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:00:42,2022-11-30 16:00:43,"1,041s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:00:43,2022-11-30 16:00:44,"1,102s",PASSED
,,,,,,,
Test Cases/API_TEST1/TEST_ESTUDIANTES,,,,2022-11-30 16:00:45,2022-11-30 16:01:13,"28,707s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/Get_user""))",,,,2022-11-30 16:01:06,2022-11-30 16:01:13,"6,780s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:01:13,2022-11-30 16:01:13,"0,002s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:01:13,2022-11-30 16:01:13,"0,005s",PASSED
,,,,,,,
Test Cases/API_TEST1/Test_Estudiante_id,,,,2022-11-30 16:01:13,2022-11-30 16:01:50,"36,202s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/StudentID""))",,,,2022-11-30 16:01:41,2022-11-30 16:01:46,"5,955s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:01:46,2022-11-30 16:01:47,"0,028s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:01:47,2022-11-30 16:01:47,"0,005s",PASSED
"verifyElementPropertyValue(Response, ""data.last_name"", ""Wong"")",,,,2022-11-30 16:01:47,2022-11-30 16:01:48,"1,473s",PASSED
"verifyElementPropertyValue(Response, ""support.text"", ""To keep ReqRes free, contributions towards server costs are appreciated!"")",,,,2022-11-30 16:01:48,2022-11-30 16:01:50,"1,507s",PASSED
,,,,,,,
Test Cases/API_TEST1/UpdateUser,,,,2022-11-30 16:01:50,2022-11-30 16:02:31,"41,562s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/UpdateUser"", [""id"":1]))",,,,2022-11-30 16:02:19,2022-11-30 16:02:31,"12,133s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:02:31,2022-11-30 16:02:31,"0,018s",PASSED
,,,,,,,
Test Cases/API_TEST2/AddUser,,,,2022-11-30 16:02:31,2022-11-30 16:03:11,"40,100s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/AddUser""))",,,,2022-11-30 16:03:00,2022-11-30 16:03:11,"11,378s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:03:11,2022-11-30 16:03:11,"0,003s",PASSED
"verifyResponseStatusCode(Response, 201)",,,,2022-11-30 16:03:11,2022-11-30 16:03:11,"0,006s",PASSED
,,,,,,,
Test Cases/API_TEST2/AddUserDinamic,,,,2022-11-30 16:03:11,2022-11-30 16:03:38,"26,890s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/AddUserDinamic"", [""Nom"":""Efrain"", ""Dep"":""Informatica""]))",,,,2022-11-30 16:03:32,2022-11-30 16:03:38,"6,633s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:03:38,2022-11-30 16:03:38,"0,001s",PASSED
,,,,,,,
Test Cases/API_TEST2/API_USUARIOS,,,,2022-11-30 16:03:38,2022-11-30 16:03:52,"13,377s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/Get_Usuarios""))",,,,2022-11-30 16:03:50,2022-11-30 16:03:52,"1,978s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:03:52,2022-11-30 16:03:52,"0,001s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:03:52,2022-11-30 16:03:52,"0,007s",PASSED
,,,,,,,
Test Cases/API_TEST2/DeleteUser,,,,2022-11-30 16:03:52,2022-11-30 16:04:15,"23,071s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/Delete_user"", [""id"":7]))",,,,2022-11-30 16:04:07,2022-11-30 16:04:15,"7,722s",PASSED
,,,,,,,
Test Cases/API_TEST2/Student_ID_Dinamic,,,,2022-11-30 16:04:15,2022-11-30 16:04:30,"14,928s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/BuscarId_Dinamic"", [""id"":3]))",,,,2022-11-30 16:04:27,2022-11-30 16:04:30,"2,814s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:04:30,2022-11-30 16:04:30,"0,012s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:04:30,2022-11-30 16:04:30,"0,001s",PASSED
,,,,,,,
Test Cases/API_TEST2/UpdateUser,,,,2022-11-30 16:04:30,2022-11-30 16:04:45,"15,275s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/UpdateUser"", [""id"":3]))",,,,2022-11-30 16:04:42,2022-11-30 16:04:45,"3,326s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:04:45,2022-11-30 16:04:45,"0,003s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:04:45,2022-11-30 16:04:45,"0,001s",PASSED
,,,,,,,
Test Cases/API_TEST2/Usuario_ID,,,,2022-11-30 16:04:45,2022-11-30 16:04:58,"13,306s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/Students_id""))",,,,2022-11-30 16:04:56,2022-11-30 16:04:58,"1,813s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:04:58,2022-11-30 16:04:58,"0,001s",PASSED
"verifyElementPropertyValue(Response, ""data.email"", ""janet.weaver@reqres.in"")",,,,2022-11-30 16:04:58,2022-11-30 16:04:58,"0,045s",PASSED
"verifyElementPropertyValue(Response, ""support.text"", ""To keep ReqRes free, contributions towards server costs are appreciated!"")",,,,2022-11-30 16:04:58,2022-11-30 16:04:58,"0,685s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:04:58,2022-11-30 16:04:58,"0,005s",PASSED
